Timestamp,Direction,Hex,ASCII,Decimal,Length
"14:27:04.004","PC->DEV","00",".","000",1
"14:27:04.008","DEV->PC","00",".","000",1
"14:27:04.056","PC->DEV","81",".","129",1
"14:27:04.094","PC->DEV","10 FC 81","...","016 252 129",3
"14:27:04.096","PC->DEV","0E",".","014",1
"14:27:04.105","DEV->PC","81 10 FC 81 0E",".....","129 016 252 129 014",5
"14:27:04.823","PC->DEV","02 1A 81 9D","....","002 026 129 157",4
"14:27:04.840","DEV->PC","02 1A 81 9D","....","002 026 129 157",4
"14:27:05.530","PC->DEV","02 1A 80 9C","....","002 026 128 156",4
"14:27:05.543","DEV->PC","02 1A 80 9C","....","002 026 128 156",4
"14:27:06.237","PC->DEV","05 22 11 00 04 01 3D","."....=","005 034 017 000 004 001 061",7
"14:27:06.247","DEV->PC","05 22 11 00 04 01 3D","."....=","005 034 017 000 004 001 061",7
"14:27:06.947","PC->DEV","05 22 11 20 04 01 5D",".". ..]","005 034 017 032 004 001 093",7
"14:27:06.950","DEV->PC","05 22 11 20 04 01 5D",".". ..]","005 034 017 032 004 001 093",7
"14:27:07.649","PC->DEV","05 22 11 40 04 01 7D",".".@..}","005 034 017 064 004 001 125",7
"14:27:07.655","DEV->PC","05 22 11 40 04 01 7D",".".@..}","005 034 017 064 004 001 125",7
"14:27:08.354","PC->DEV","05 22 11 60 04 01 9D",".".`...","005 034 017 096 004 001 157",7
"14:27:08.358","DEV->PC","05 22 11 60 04 01 9D",".".`...","005 034 017 096 004 001 157",7
"14:27:09.062","PC->DEV","05 22 12 00 04 01 3E","."....>","005 034 018 000 004 001 062",7
"14:27:09.078","DEV->PC","05 22 12 00 04 01 3E","."....>","005 034 018 000 004 001 062",7
"14:27:09.772","PC->DEV","05 22 12 20 04 01 5E",".". ..^","005 034 018 032 004 001 094",7
"14:27:09.780","DEV->PC","05 22 12 20 04 01 5E",".". ..^","005 034 018 032 004 001 094",7
"14:27:10.475","PC->DEV","05 22 13 01 04 01 40","."....@","005 034 019 001 004 001 064",7
"14:27:10.485","DEV->PC","05 22 13 01 04 01 40","."....@","005 034 019 001 004 001 064",7
"14:27:11.191","PC->DEV","05 22 13 02 04 01 41","."....A","005 034 019 002 004 001 065",7
"14:27:11.203","DEV->PC","05 22 13 02 04 01 41","."....A","005 034 019 002 004 001 065",7
"14:27:11.893","PC->DEV","05 22 13 03 04 01 42","."....B","005 034 019 003 004 001 066",7
"14:27:11.908","DEV->PC","05 22 13 03 04 01 42","."....B","005 034 019 003 004 001 066",7
"14:27:12.608","PC->DEV","05 22 13 04 04 01 43","."....C","005 034 019 004 004 001 067",7
"14:27:12.627","DEV->PC","05 22 13 04 04 01 43","."....C","005 034 019 004 004 001 067",7
"14:27:13.309","PC->DEV","05 22 13 05 04 01 44","."....D","005 034 019 005 004 001 068",7
"14:27:13.316","DEV->PC","05 22 13 05 04 01 44","."....D","005 034 019 005 004 001 068",7
"14:27:14.010","PC->DEV","05 22 13 07 04 01 46","."....F","005 034 019 007 004 001 070",7
"14:27:14.018","DEV->PC","05 22 13 07 04 01 46","."....F","005 034 019 007 004 001 070",7
"14:27:14.715","PC->DEV","05 22 13 08 04 01 47","."....G","005 034 019 008 004 001 071",7
"14:27:14.721","DEV->PC","05 22 13 08 04 01 47","."....G","005 034 019 008 004 001 071",7
"14:27:15.430","PC->DEV","05 22 13 09 04 01 48","."....H","005 034 019 009 004 001 072",7
"14:27:15.440","DEV->PC","05 22 13 09 04 01 48","."....H","005 034 019 009 004 001 072",7
"14:27:16.144","PC->DEV","05 22 13 0A 04 01 49","."....I","005 034 019 010 004 001 073",7
"14:27:16.160","DEV->PC","05 22 13 0A 04 01 49","."....I","005 034 019 010 004 001 073",7
"14:27:16.860","PC->DEV","05 22 13 0B 04 01 4A","."....J","005 034 019 011 004 001 074",7
"14:27:16.862","DEV->PC","05 22 13",".".","005 034 019",3
"14:27:16.880","DEV->PC","0B 04 01 4A","...J","011 004 001 074",4
"14:27:17.572","PC->DEV","05 22 13 0D 04 01 4C","."....L","005 034 019 013 004 001 076",7
"14:27:17.582","DEV->PC","05 22 13 0D 04 01 4C","."....L","005 034 019 013 004 001 076",7
"14:27:18.283","PC->DEV","02 30 00 32",".0.2","002 048 000 050",4
"14:27:18.287","DEV->PC","02 30 00",".0.","002 048 000",3
"14:27:18.303","DEV->PC","32","2","050",1
"14:27:18.997","PC->DEV","02 30 20 52",".0 R","002 048 032 082",4
"14:27:19.005","DEV->PC","02 30 20 52",".0 R","002 048 032 082",4
"14:27:19.702","PC->DEV","02 30 40 72",".0@r","002 048 064 114",4
